distance_dijkstra_kmeans_constrained,emission_dijkstra_kmeans_constrained,time_dijkstra_kmeans_constrained
9858.3626739162,0.0012961054814631646,254.9896535873413
28725.390256831713,0.0037685410878838597,741.6479451656342
45983.181283337224,0.0038205926979792827,751.8418927192688
29218.66416511465,0.004141037013173692,814.8216760158539
18313.929636997935,0.0025087286898656798,493.546756029129
35488.541786493966,0.004989351205089655,981.6277937889099
40069.10960712154,0.00570864114953223,1123.0366215705872
38212.19985010916,0.004627977583428513,910.4816851615906
9914.435950005134,0.001782101920049783,350.48730397224426
14123.935565964226,0.0022650340632685197,445.5796136856079
