distance_dijkstra_heap_kmeans,time_dijkstra_heap_kmeans,distance_dijkstra_heap_kmeans_constrained,time_dijkstra_heap_kmeans_constrained,distance_dijkstra_heap_random,time_dijkstra_heap_random
45025.86489141366,0.5000460147857666,9858.362673916197,0.15200018882751465,65974.10693789751,1.8819620609283447
11329.762482677139,0.13599634170532227,28725.390256831713,0.5740008354187012,45099.28228905193,0.9140379428863525
31846.838939430578,0.8149561882019043,45983.181283337224,0.7639915943145752,50038.785645950054,1.3339612483978271
31736.06837869151,0.6950440406799316,29218.66416511465,0.5780413150787354,50878.03632693949,1.3980000019073486
31151.546140942402,0.45999908447265625,18313.929636997935,0.29900097846984863,58455.35969514752,1.8830440044403076
43237.01041578729,1.4140088558197021,35488.541786493966,0.7109951972961426,47452.17916801196,2.508000373840332
13326.635363524972,0.3370039463043213,40069.10960712154,0.9220027923583984,53746.52151553128,2.128011703491211
41233.74876892999,0.5659844875335693,38212.19985010916,0.8254179954528809,31830.38198613331,0.4979896545410156
12845.507846280902,0.14100027084350586,9914.435950005134,0.2000417709350586,23966.961471987855,0.24495792388916016
18313.929636997935,0.2999699115753174,14123.935565964226,0.2560007572174072,63317.356930785434,2.380033493041992
